frame,time_s,x,y,z,conf,audio_rms,centroid_hz,peak_hz,est_rpm
80,2.667,884.67,548.43,0.00137,0.972,0.300769,206.68,129.20,nan
81,2.700,882.85,547.76,0.00137,1.000,0.291549,236.65,129.20,nan
82,2.733,881.14,547.16,0.00137,0.971,0.298983,260.28,136.90,nan
83,2.767,879.67,546.79,0.00137,1.000,0.298210,246.17,139.97,nan
84,2.800,878.18,546.38,0.00137,0.971,0.289070,296.02,139.97,nan
85,2.833,876.48,545.94,0.00137,1.000,0.281639,307.56,139.97,nan
86,2.867,875.22,545.49,0.00137,1.000,0.280494,322.83,139.97,nan
87,2.900,874.04,545.02,0.00137,0.970,0.275567,352.22,139.97,nan
88,2.933,872.93,544.55,0.00137,1.000,0.263584,380.58,143.50,nan
89,2.967,872.23,544.45,0.00137,1.000,0.278442,373.77,150.73,nan
90,3.000,871.62,544.59,0.00137,1.000,0.283432,362.00,150.73,nan
91,3.033,871.24,544.70,0.00136,1.000,0.312614,389.94,150.73,nan
92,3.067,871.20,544.59,0.00136,1.000,0.312510,408.66,150.73,nan
93,3.100,871.00,544.53,0.00136,0.938,0.324062,446.03,150.73,nan
94,3.133,870.89,544.13,0.00136,1.000,0.305121,435.60,150.73,nan
95,3.167,870.83,543.31,0.00135,0.862,0.297449,439.29,150.73,nan
96,3.200,870.62,542.05,0.00135,0.880,0.281040,479.72,150.73,nan
97,3.233,870.31,540.30,0.00133,1.000,0.268008,449.87,150.73,nan
98,3.267,869.94,538.25,0.00133,0.952,0.284368,456.02,150.73,nan
99,3.300,869.53,535.81,0.00132,0.900,0.293379,398.80,150.73,nan
100,3.333,869.08,533.13,0.00131,0.944,0.307384,420.67,150.73,nan
101,3.367,868.44,530.28,0.00130,0.867,0.285885,416.40,150.73,nan
102,3.400,867.47,527.53,0.00130,0.692,0.282548,592.83,161.50,nan
103,3.433,866.67,524.46,0.00129,1.000,0.284401,463.93,152.23,nan
104,3.467,865.98,521.38,0.00127,1.000,0.284264,434.75,150.73,nan
105,3.500,865.93,519.24,0.00126,0.778,0.271804,551.32,158.62,nan
106,3.533,865.92,517.31,0.00125,0.714,0.259582,511.01,159.69,nan
107,3.567,865.92,515.91,0.00123,1.000,0.251383,558.99,157.23,nan
108,3.600,865.93,515.04,0.00123,1.000,0.262082,777.26,161.50,nan
109,3.633,748.90,601.69,0.00288,0.252,0.271476,508.13,161.50,nan
110,3.667,673.94,657.22,0.00301,0.252,0.293730,607.84,161.50,nan
111,3.700,625.99,692.77,0.00302,0.252,0.293635,506.15,161.50,nan
112,3.733,595.39,715.49,0.00303,0.252,0.285196,461.68,161.50,nan
113,3.767,575.94,729.96,0.00303,0.252,0.270287,608.38,161.50,nan
114,3.800,563.64,739.13,0.00303,0.252,0.265773,520.13,161.50,nan
115,3.833,555.93,744.92,0.00303,0.252,0.269871,491.11,161.50,nan
116,3.867,551.16,748.52,0.00303,0.252,0.277650,585.29,161.50,nan
117,3.900,548.27,750.72,0.00303,0.252,0.298442,457.21,161.50,nan
118,3.933,546.59,752.03,0.00303,0.252,0.305861,384.51,161.50,nan
119,3.967,545.68,752.78,0.00302,0.252,0.276717,497.19,161.50,nan
120,4.000,545.26,753.15,0.00302,0.252,0.250965,626.43,161.50,nan
121,4.033,545.15,753.30,0.00302,0.252,0.269339,496.15,161.50,nan
122,4.067,545.22,753.31,0.00302,0.252,0.302223,428.47,161.50,nan
123,4.100,545.42,753.22,0.00302,0.252,0.306132,485.71,161.50,nan
124,4.133,545.69,753.08,0.00302,0.252,0.309568,584.84,161.50,nan
125,4.167,546.00,752.90,0.00302,0.252,0.293251,467.68,156.73,nan
126,4.200,546.33,752.71,0.00302,0.252,0.272614,559.24,160.20,nan
127,4.233,546.67,752.51,0.00302,0.252,0.251397,692.71,161.50,nan
128,4.267,547.02,752.31,0.00302,0.252,0.263369,560.60,161.50,nan
129,4.300,547.36,752.10,0.00302,0.252,0.276580,556.94,161.50,nan
130,4.333,547.69,751.90,0.00302,0.252,0.265080,752.15,161.50,nan
131,4.367,548.02,751.71,0.00302,0.252,0.278854,858.33,313.85,nan
132,4.400,548.34,751.51,0.00302,0.252,0.302731,620.44,161.50,nan
133,4.433,548.65,751.33,0.00302,0.252,0.316302,619.52,161.50,nan
134,4.467,548.95,751.14,0.00302,0.252,0.294482,694.73,161.50,nan
135,4.500,549.24,750.97,0.00302,0.252,0.301589,717.35,161.50,nan
136,4.533,549.53,750.80,0.00302,0.252,0.316240,584.36,161.50,nan
137,4.567,549.80,750.63,0.00302,0.252,0.317664,642.18,161.50,nan
138,4.600,575.30,743.95,0.00251,0.313,0.297051,705.12,161.50,nan
139,4.633,613.87,727.67,0.00738,0.856,0.300756,751.04,161.50,nan
140,4.667,638.65,716.82,0.00779,0.857,0.293125,671.12,161.50,nan
141,4.700,654.94,709.84,0.00782,0.857,0.277784,921.08,165.94,nan
142,4.733,665.79,704.95,0.00783,0.857,0.260235,893.96,163.14,nan
143,4.767,673.14,701.80,0.00783,0.857,0.271093,784.59,164.55,nan
144,4.800,677.85,699.76,0.00783,0.857,0.291494,777.44,172.27,nan
145,4.833,681.26,698.44,0.00783,0.857,0.315607,608.74,161.50,nan
146,4.867,683.82,697.58,0.00783,0.856,0.308832,649.01,161.50,nan
147,4.900,685.46,697.01,0.00783,0.856,0.295605,902.17,171.99,nan
148,4.933,686.89,696.64,0.00782,0.857,0.270140,739.75,161.50,nan
149,4.967,688.18,696.39,0.00782,0.856,0.279472,887.11,171.15,nan
150,5.000,689.38,696.59,0.00782,0.854,0.293436,782.34,168.69,nan
151,5.033,690.15,697.09,0.00782,0.854,0.310826,629.69,161.50,nan
152,5.067,691.01,697.40,0.00782,0.855,0.320027,710.94,163.69,nan
153,5.100,691.56,697.97,0.00782,0.854,0.320847,630.63,165.39,nan
154,5.133,691.91,699.07,0.00782,0.854,0.327533,697.74,162.30,nan
155,5.167,692.50,700.53,0.00782,0.855,0.337614,788.72,166.78,nan
156,5.200,692.88,701.83,0.00782,0.853,0.336587,570.94,161.50,nan
157,5.233,693.11,702.66,0.00782,0.853,0.335888,645.52,161.50,nan
158,5.267,693.26,703.55,0.00782,0.853,0.320277,607.01,161.50,nan
159,5.300,694.10,704.49,0.00782,0.853,0.317345,706.47,164.21,nan
160,5.333,695.01,705.46,0.00782,0.851,0.311764,755.35,164.86,nan
161,5.367,695.97,706.44,0.00782,0.848,0.307044,700.82,161.50,nan
162,5.400,697.34,707.82,0.00782,0.845,0.292499,830.80,161.50,nan
163,5.433,698.58,709.45,0.00782,0.846,0.235770,1027.70,172.20,nan
