frame,time_s,x,y,z,conf
138,4.600,129.43,382.98,0.00358,0.290
139,4.633,152.51,411.54,0.00280,0.331
140,4.667,164.26,426.30,0.00274,0.309
141,4.700,171.14,435.05,0.00273,0.301
142,4.733,175.35,440.44,0.00273,0.277
143,4.767,177.99,443.88,0.00273,0.300
144,4.800,179.58,446.09,0.00273,0.286
145,4.833,180.64,447.34,0.00274,0.345
146,4.867,181.30,448.07,0.00274,0.362
147,4.900,181.71,448.43,0.00274,0.357
148,4.933,181.88,448.67,0.00274,0.362
149,4.967,181.96,448.41,0.00274,0.419
150,5.000,181.98,447.95,0.00274,0.403
151,5.033,181.93,447.42,0.00274,0.414
152,5.067,181.91,447.07,0.00274,0.379
153,5.100,181.99,446.84,0.00274,0.299
154,5.133,182.02,446.81,0.00274,0.254
155,5.167,182.01,447.55,0.00274,0.367
156,5.200,126.69,403.68,0.01434,0.265
157,5.233,125.39,404.59,0.01451,NaN
158,5.267,124.10,405.51,0.01469,NaN
159,5.300,122.80,406.43,0.01486,NaN
160,5.333,71.59,362.77,0.01515,0.305
161,5.367,68.79,362.35,0.01533,NaN
162,5.400,66.00,361.93,0.01550,NaN
163,5.433,63.20,361.51,0.01568,NaN
164,5.467,61.15,175.91,0.00870,0.270
165,5.500,47.41,246.16,0.01506,0.394
166,5.533,367.81,171.14,0.02365,0.507
167,5.567,236.24,127.89,0.02383,0.570
168,5.600,155.49,102.18,0.02334,0.459
169,5.633,104.80,86.81,0.02281,0.491
170,5.667,72.84,77.66,0.02186,0.475
171,5.700,52.53,72.34,0.02178,0.368
172,5.733,39.67,69.62,0.02134,0.322
173,5.767,31.62,68.46,0.02090,0.384
174,5.800,26.67,68.27,0.02086,0.309
175,5.833,330.34,75.33,0.02874,0.480
176,5.867,338.23,218.24,0.02152,0.412
177,5.900,343.14,310.03,0.02132,0.366
178,5.933,345.86,368.91,0.02172,0.457
179,5.967,347.25,406.60,0.02315,0.536
180,6.000,347.72,430.69,0.02232,0.314
181,6.033,348.06,446.02,0.02181,0.377
182,6.067,348.35,455.46,0.02221,0.414
183,6.100,348.51,461.37,0.02270,0.435
184,6.133,348.51,465.21,0.02274,0.331
185,6.167,348.35,467.66,0.02228,0.415
186,6.200,348.19,469.18,0.02271,0.380
187,6.233,347.98,470.00,0.02228,0.452
188,6.267,347.71,470.53,0.02224,0.521
189,6.300,347.50,470.78,0.02270,0.525
190,6.333,347.31,470.78,0.02274,0.439
191,6.367,346.95,470.63,0.02274,0.374
192,6.400,346.63,470.53,0.02274,0.360
193,6.433,248.69,347.97,0.01029,0.471
194,6.467,283.55,391.68,0.02123,0.381
195,6.500,305.82,419.67,0.02215,0.371
196,6.533,320.01,437.55,0.02269,0.452
197,6.567,329.06,448.91,0.02183,0.430
198,6.600,334.76,456.18,0.02176,0.368
199,6.633,338.52,460.84,0.02219,0.322
200,6.667,340.94,463.63,0.02223,0.367
201,6.700,342.49,465.34,0.02223,0.334
202,6.733,343.44,466.39,0.02223,0.352
203,6.767,344.00,466.99,0.02223,0.353
204,6.800,344.36,467.36,0.02223,0.329
205,6.833,344.56,467.53,0.02179,0.281
206,6.867,227.60,335.68,0.01660,0.318
207,6.900,152.35,251.14,0.01640,0.359
208,6.933,104.18,196.95,0.01639,0.413
209,6.967,73.26,162.28,0.01664,0.620
210,7.000,53.50,139.90,0.01666,0.350
211,7.033,40.94,125.72,0.01666,0.409
212,7.067,53.33,129.61,0.00978,0.281
213,7.100,47.67,122.80,0.00949,NaN
214,7.133,60.46,132.79,0.00902,0.285
215,7.167,66.34,137.40,0.00899,0.316
216,7.200,69.60,139.77,0.00898,0.306
217,7.233,71.44,141.87,0.00906,0.268
218,7.267,72.88,143.53,0.00907,0.253
219,7.300,223.92,185.85,0.04248,0.302
220,7.333,224.59,182.08,0.04333,NaN
221,7.367,210.72,117.49,0.01109,0.325
222,7.400,210.94,111.85,0.01088,NaN
223,7.433,211.17,106.21,0.01066,NaN
224,7.467,118.62,226.42,0.01229,0.263
225,7.500,83.38,270.97,0.01233,0.315
226,7.533,64.67,294.43,0.01219,0.255
227,7.567,60.66,294.71,0.01204,NaN
228,7.600,50.06,312.32,0.01218,0.281
229,7.633,61.66,251.58,0.00925,0.323
230,7.667,68.24,216.91,0.00901,0.317
231,7.700,72.28,195.73,0.00899,0.344
232,7.733,74.95,182.46,0.00892,0.281
233,7.767,71.95,179.44,0.00869,NaN
234,7.800,68.94,176.43,0.00847,NaN
235,7.833,65.93,173.41,0.00825,NaN
236,7.867,75.60,141.34,0.00854,0.257
237,7.900,78.19,130.06,0.00846,0.320
238,7.933,79.50,123.96,0.00866,0.269
239,7.967,77.15,119.79,0.00847,NaN
240,8.000,79.99,118.66,0.00861,0.495
241,8.033,81.74,117.85,0.00867,0.649
242,8.067,82.61,117.83,0.00868,0.561
243,8.100,125.42,94.93,0.00979,0.362
244,8.133,90.11,104.36,0.01450,0.324
245,8.167,88.43,100.34,0.01453,NaN
246,8.200,62.72,111.22,0.01470,0.250
247,8.233,60.30,107.66,0.01474,NaN
248,8.267,57.88,104.10,0.01478,NaN
249,8.300,55.46,100.55,0.01482,NaN
250,8.333,53.05,96.99,0.01486,NaN
251,8.367,151.27,83.02,0.00989,0.262
252,8.400,177.68,78.55,0.01007,0.503
253,8.433,190.50,76.29,0.01028,0.584
254,8.467,198.18,75.29,0.01020,0.497
255,8.500,203.33,74.93,0.00992,0.396
256,8.533,206.92,75.02,0.00999,0.454
257,8.567,209.31,75.52,0.01008,0.380
258,8.600,210.94,76.18,0.01019,0.405
259,8.633,212.38,76.99,0.01001,0.299
260,8.667,213.08,77.55,0.01009,0.455
261,8.700,214.19,78.08,0.00973,0.452
262,8.733,214.67,78.62,0.00997,0.467
263,8.767,215.69,79.07,0.00990,0.534
264,8.800,217.16,79.42,0.00963,0.476
265,8.833,217.86,79.62,0.00987,0.436
266,8.867,217.80,79.97,0.01008,0.480
267,8.900,217.82,80.48,0.01009,0.507
268,8.933,217.75,81.02,0.01010,0.525
269,8.967,217.52,81.83,0.01019,0.413
270,9.000,217.55,83.01,0.01030,0.522
271,9.033,217.70,83.94,0.01021,0.505
272,9.067,217.90,84.84,0.01030,0.468
273,9.100,217.57,85.72,0.01040,0.364
274,9.133,177.20,127.74,0.00935,0.306
275,9.167,151.40,154.78,0.00918,0.281
276,9.200,135.02,172.52,0.00909,0.346
277,9.233,133.81,173.47,0.00901,NaN
278,9.267,122.51,187.35,0.00925,0.277
279,9.300,120.99,188.71,0.00918,NaN
280,9.333,115.71,195.70,0.00934,0.286
281,9.367,114.08,197.23,0.00928,NaN
282,9.400,112.19,201.68,0.00918,0.311
283,9.433,111.33,203.71,0.00925,0.315
284,9.467,111.00,204.80,0.00933,0.346
285,9.500,109.42,206.41,0.00928,NaN
286,9.533,107.84,208.02,0.00923,NaN
287,9.567,170.32,151.03,0.00926,0.355
288,9.600,195.20,128.85,0.00933,0.336
289,9.633,196.30,128.02,0.00929,NaN
290,9.667,197.41,127.19,0.00924,NaN
291,9.700,198.51,126.37,0.00920,NaN
292,9.733,199.61,125.54,0.00915,NaN
293,9.767,217.28,111.16,0.00926,0.294
294,9.800,169.75,155.91,0.00918,0.270
295,9.833,169.89,156.04,0.00914,NaN
296,9.867,170.03,156.18,0.00909,NaN
297,9.900,170.16,156.31,0.00905,NaN
298,9.933,203.62,125.81,0.00934,0.327
299,9.967,214.27,116.27,0.00942,0.518
300,10.000,220.02,111.73,0.00943,0.558
301,10.033,223.93,109.58,0.00943,0.417
302,10.067,225.53,108.42,0.00941,NaN
303,10.100,227.13,107.25,0.00938,NaN
304,10.133,228.73,106.09,0.00935,NaN
305,10.167,230.33,104.93,0.00933,NaN
306,10.200,231.93,103.76,0.00930,NaN
307,10.233,230.36,108.00,0.00943,0.252
308,10.267,231.87,106.99,0.00941,NaN
309,10.300,233.38,105.99,0.00939,NaN
