frame,time_s,x,y,z,conf,audio_rms,centroid_hz,peak_hz,est_rpm
78,2.600,181.29,447.72,0.00275,0.436,NaN,NaN,118.43,1776.49
79,2.633,177.95,448.93,0.00275,0.482,NaN,NaN,118.43,1776.49
80,2.667,175.95,449.63,0.00276,0.493,NaN,NaN,118.43,1776.49
81,2.700,174.80,449.96,0.00276,0.492,NaN,NaN,129.20,1937.99
82,2.733,174.04,449.84,0.00276,0.508,NaN,NaN,129.20,1937.99
83,2.767,173.67,449.94,0.00276,0.299,NaN,NaN,129.20,1937.99
84,2.800,173.57,449.92,0.00276,0.327,NaN,NaN,129.20,1937.99
85,2.833,173.65,449.85,0.00276,0.289,NaN,NaN,129.20,1937.99
86,2.867,173.79,449.75,0.00276,0.272,NaN,NaN,129.20,1937.99
87,2.900,173.97,449.63,0.00276,0.275,NaN,NaN,129.20,1937.99
88,2.933,174.20,449.48,0.00276,0.295,NaN,NaN,129.20,1937.99
89,2.967,174.46,449.33,0.00276,0.318,NaN,NaN,129.20,1937.99
90,3.000,174.76,449.14,0.00276,0.314,NaN,NaN,129.20,1937.99
91,3.033,174.99,448.96,0.00276,0.299,NaN,NaN,129.20,1937.99
92,3.067,175.22,448.85,0.00276,0.314,NaN,NaN,129.20,1937.99
93,3.100,175.42,448.75,0.00276,0.304,NaN,NaN,129.20,1937.99
94,3.133,175.60,448.63,0.00276,0.322,NaN,NaN,129.20,1937.99
95,3.167,175.80,448.47,0.00276,0.281,NaN,NaN,129.20,1937.99
96,3.200,176.04,448.32,0.00277,0.281,NaN,NaN,129.20,1937.99
97,3.233,176.24,448.22,0.00277,0.269,NaN,NaN,129.20,1937.99
98,3.267,173.12,450.33,0.00271,NaN,NaN,NaN,129.20,1937.99
99,3.300,170.00,452.45,0.00266,NaN,NaN,NaN,129.20,1937.99
100,3.333,174.72,449.18,0.00277,0.276,NaN,NaN,129.20,1937.99
101,3.367,171.84,451.13,0.00272,NaN,NaN,NaN,129.20,1937.99
102,3.400,175.47,448.72,0.00277,0.259,NaN,NaN,129.20,1937.99
103,3.433,172.79,450.54,0.00272,NaN,NaN,NaN,129.20,1937.99
104,3.467,170.11,452.35,0.00268,NaN,NaN,NaN,129.20,1937.99
105,3.500,167.43,454.17,0.00263,NaN,NaN,NaN,129.20,1937.99
106,3.533,175.20,448.97,0.00277,0.259,NaN,NaN,129.20,1937.99
107,3.567,316.33,367.86,0.00383,0.284,NaN,NaN,129.20,1937.99
108,3.600,262.35,398.72,0.00286,0.286,NaN,NaN,129.20,1937.99
109,3.633,231.04,416.64,0.00277,0.325,NaN,NaN,129.20,1937.99
110,3.667,211.79,427.71,0.00277,0.277,NaN,NaN,129.20,1937.99
