best epoch, train loss, train accuracy, valid loss, valid accuracy, test loss, test accuracy
000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0
000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0
